ean,article,name,brand,basis,price,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
7340083431241,101214390_ST,Vit Block,Eldorado,100 gram,"20,77 kr",540.0,2259.0,30.0,28.0,62.0,62.0,0.0,5.6,0.2,hemkop
5709521050376,101695432_ST,Vit Choklad,Odense,100 gram,"35,91 kr",550.0,2295.0,33.0,20.0,57.0,57.0,,6.2,0.17,hemkop
7392672003193,101404590_ST,"Vit Choklad Kvarg 0,2%",Lindahls,100 gram,"10,58 kr",60.0,254.0,0.3,0.1,3.3,3.0,,10.0,0.1,hemkop
4002971282108,101853392_ST,Vit Choklad Proteindessert,Ehrmann,100 gram,"17,50 kr",86.0,362.0,2.9,1.9,5.0,4.0,,10.0,0.2,hemkop
5709521046409,101354511_ST,Vit Chokladsås,Odense,100 gram,"31,18 kr",594.0,2495.0,40.0,7.0,57.0,48.0,,2.0,0.0,hemkop
7313161408503,101189642_ST,Vit Kebabsås Topping,Rydbergs,100 gram,"28,34 kr",360.0,1500.0,39.0,5.4,2.6,2.2,,1.9,0.8,hemkop
7311043000869,101440944_ST,Vit Quinoa,Garant Eko,100 gram,"50,11 kr",342.0,1442.0,5.8,0.8,57.0,3.5,6.8,12.0,0.1,hemkop
7310340464404,100234006_ST,Vit Sirap,Dansukker,100 gram,"21,29 kr",320.0,1360.0,0.0,0.0,80.0,80.0,,0.0,0.02,hemkop
7340083481338,101310195_ST,Vita Bönor,Garant Eko,100 gram,"32,13 kr",314.0,1324.0,2.4,0.4,44.0,3.4,18.0,20.0,0.01,hemkop
7310130009471,101284581_ST,Vita Bönor,Gogreen,100 gram,"27,39 kr",306.0,1279.0,3.3,0.7,39.0,2.5,16.0,21.0,0.0,hemkop
7331217016878,101802400_ST,Vita Bönor,Sevan,100 gram,"44,43 kr",307.0,1285.0,1.8,1.0,43.0,4.8,19.0,20.0,0.0,hemkop
7350002407615,101243110_ST,Vita Bönor Blandade Ekologiska,Zeta,100 gram,"16,04 kr",104.0,438.0,0.9,0.5,15.0,0.8,5.9,6.5,0.3,hemkop
7340083404788,101213487_ST,Vita Bönor i  Tomatsås,Garant,100 gram,"10,88 kr",83.0,351.0,0.6,0.1,14.0,4.8,3.5,3.8,0.3,hemkop
5000157024671,100388224_ST,Vita Bönor i Tomatsås,Heinz,100 gram,"12,25 kr",81.0,339.0,0.4,0.1,15.5,4.3,3.9,4.8,0.6,hemkop
7311041003398,100351094_ST,Vita Bönor i Tomatsås,Eldorado,100 gram,"9,41 kr",85.0,350.0,0.5,0.1,14.0,5.7,4.0,3.8,1.2,hemkop
7310130009778,101289895_ST,Vita Bönor Små Svenska,Gogreen,100 gram,"16,04 kr",96.0,404.0,1.0,0.2,11.0,0.4,8.4,6.6,0.4,hemkop
7350027796831,101337625_ST,Vita Bönor Stora,Zeta,100 gram,"17,93 kr",102.0,428.0,1.1,0.5,13.0,1.0,6.5,6.5,1.0,hemkop
7350002402962,100841948_ST,Vita Bönor Stora Ekologiska,Zeta,100 gram,"16,04 kr",100.0,417.0,0.8,0.5,14.0,0.7,,6.6,0.5,hemkop
